Device Name,3R
Device Model,Kestrel DROP 2
Serial Number,3076474
FORMATTED DATE_TIME,Temperature,Relative Humidity,Heat Index,Dew Point,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
yyyy-MM-dd hh:mm:ss a,°C,%,°C,°C
2025-07-11 12:00:00 AM,14.1,86.7,14.1,11.9,point
2025-07-11 12:30:00 AM,14.1,87.5,14.2,12.1,point
2025-07-11 01:00:00 AM,16.2,88.2,16.2,14.2,point
2025-07-11 01:30:00 AM,16.5,85.3,16.4,14.0,point
2025-07-11 02:00:00 AM,16.6,85.1,16.5,14.0,point
2025-07-11 02:30:00 AM,16.6,84.7,16.5,14.0,point
2025-07-11 03:00:00 AM,16.6,84.3,16.5,13.9,point
2025-07-11 03:30:00 AM,16.6,84.8,16.5,14.0,point
2025-07-11 04:00:00 AM,16.6,83.7,16.5,13.8,point
2025-07-11 04:30:00 AM,16.6,84.9,16.6,14.1,point
2025-07-11 05:00:00 AM,16.6,84.2,16.6,13.9,point
2025-07-11 05:30:00 AM,16.6,84.3,16.6,14.0,point
2025-07-11 06:00:00 AM,16.6,84.0,16.5,13.9,point
2025-07-11 06:30:00 AM,16.6,84.6,16.6,14.0,point
2025-07-11 07:00:00 AM,16.5,84.1,16.5,13.8,point
2025-07-11 07:30:00 AM,16.5,83.6,16.5,13.8,point
2025-07-11 08:00:00 AM,16.8,85.2,16.8,14.3,point
2025-07-11 08:30:00 AM,17.3,86.3,17.3,15.0,point
2025-07-11 09:00:00 AM,17.7,87.0,17.7,15.5,point
2025-07-11 09:30:00 AM,18.0,87.1,18.1,15.8,point
2025-07-11 10:00:00 AM,18.6,87.5,18.7,16.4,point
2025-07-11 10:30:00 AM,18.9,87.1,19.1,16.6,point
2025-07-11 11:00:00 AM,19.1,87.7,19.4,17.0,point
2025-07-11 11:30:00 AM,19.3,87.8,19.7,17.2,point
2025-07-11 12:00:00 PM,19.7,88.1,20.0,17.6,point
2025-07-11 12:30:00 PM,20.2,86.1,20.7,17.9,point
2025-07-11 01:00:00 PM,20.1,90.0,20.8,18.4,point
2025-07-11 01:30:00 PM,20.6,91.7,21.4,19.2,point
2025-07-11 02:00:00 PM,20.5,89.8,21.2,18.8,point
2025-07-11 02:30:00 PM,20.3,89.2,20.9,18.5,point
2025-07-11 03:00:00 PM,20.0,88.9,20.6,18.1,point
2025-07-11 03:30:00 PM,19.8,88.5,20.3,17.9,point
2025-07-11 04:00:00 PM,19.4,89.2,19.9,17.6,point
2025-07-11 04:30:00 PM,19.2,88.2,19.5,17.2,point
2025-07-11 05:00:00 PM,18.8,86.9,18.9,16.6,point
2025-07-11 05:30:00 PM,18.4,87.5,18.6,16.3,point
2025-07-11 06:00:00 PM,18.1,87.4,18.2,16.0,point
2025-07-11 06:30:00 PM,17.6,86.8,17.6,15.4,point
2025-07-11 07:00:00 PM,17.0,85.3,16.9,14.5,point
2025-07-11 07:30:00 PM,16.5,85.5,16.5,14.1,point
2025-07-11 08:00:00 PM,15.5,88.6,15.7,13.6,point
2025-07-11 08:30:00 PM,15.1,89.5,15.3,13.4,point
2025-07-11 09:00:00 PM,14.6,88.7,14.7,12.7,point
2025-07-11 09:30:00 PM,14.1,88.9,14.3,12.3,point
2025-07-11 10:00:00 PM,13.9,89.0,14.1,12.1,point
2025-07-11 10:30:00 PM,13.9,89.2,14.0,12.1,point
2025-07-11 11:00:00 PM,13.8,89.2,14.0,12.1,point
2025-07-11 11:30:00 PM,13.9,89.8,14.1,12.3,point
2025-07-12 12:00:00 AM,13.8,89.5,14.0,12.1,point
2025-07-12 12:30:00 AM,13.9,89.3,14.0,12.1,point
2025-07-12 01:00:00 AM,16.0,89.7,16.2,14.3,point
2025-07-12 01:30:00 AM,16.2,88.0,16.3,14.3,point
2025-07-12 02:00:00 AM,16.3,87.0,16.4,14.1,point
2025-07-12 02:30:00 AM,16.3,87.0,16.3,14.1,point
2025-07-12 03:00:00 AM,16.3,87.6,16.4,14.3,point
2025-07-12 03:30:00 AM,16.3,87.6,16.4,14.3,point
2025-07-12 04:00:00 AM,16.3,87.1,16.4,14.2,point
2025-07-12 04:30:00 AM,16.4,86.6,16.5,14.2,point
2025-07-12 05:00:00 AM,16.4,87.3,16.5,14.3,point
2025-07-12 05:30:00 AM,16.5,87.8,16.5,14.4,point
2025-07-12 06:00:00 AM,16.3,86.7,16.4,14.1,point
2025-07-12 06:30:00 AM,16.4,87.2,16.4,14.2,point
2025-07-12 07:00:00 AM,16.3,87.2,16.3,14.2,point
2025-07-12 07:30:00 AM,16.4,87.3,16.5,14.3,point
2025-07-12 08:00:00 AM,16.6,87.2,16.6,14.4,point
2025-07-12 08:30:00 AM,16.8,88.6,17.0,14.9,point
2025-07-12 09:00:00 AM,17.3,88.3,17.4,15.3,point
2025-07-12 09:30:00 AM,17.7,87.7,17.8,15.7,point
2025-07-12 10:00:00 AM,18.3,89.5,18.4,16.5,point
2025-07-12 10:30:00 AM,18.6,89.1,18.8,16.7,point
2025-07-12 11:00:00 AM,19.0,89.7,19.3,17.2,point
2025-07-12 11:30:00 AM,19.2,89.7,19.6,17.5,point
2025-07-12 12:00:00 PM,19.5,89.8,20.0,17.8,point
2025-07-12 12:30:00 PM,19.9,89.5,20.5,18.1,point
2025-07-12 01:00:00 PM,20.2,89.1,20.8,18.4,point
2025-07-12 01:30:00 PM,20.6,90.3,21.4,19.0,point
2025-07-12 02:00:00 PM,20.8,89.2,21.5,19.0,point
2025-07-12 02:30:00 PM,20.4,86.9,21.0,18.2,point
2025-07-12 03:00:00 PM,20.2,88.0,20.8,18.2,point
2025-07-12 03:30:00 PM,20.0,88.2,20.6,18.0,point
2025-07-12 04:00:00 PM,19.7,87.4,20.2,17.6,point
2025-07-12 04:30:00 PM,19.5,87.2,19.9,17.3,point
2025-07-12 05:00:00 PM,19.0,86.7,19.3,16.8,point
2025-07-12 05:30:00 PM,18.6,86.5,18.7,16.3,point
2025-07-12 06:00:00 PM,18.1,85.3,18.1,15.6,point
2025-07-12 06:30:00 PM,17.8,86.6,17.9,15.6,point
2025-07-12 07:00:00 PM,17.3,85.0,17.2,14.7,point
2025-07-12 07:30:00 PM,16.7,83.6,16.7,13.9,point
2025-07-12 08:00:00 PM,15.7,86.9,15.8,13.5,point
2025-07-12 08:30:00 PM,15.1,86.8,15.2,12.9,point
2025-07-12 09:00:00 PM,14.6,86.6,14.7,12.4,point
2025-07-12 09:30:00 PM,14.2,86.8,14.2,12.0,point
2025-07-12 10:00:00 PM,13.9,87.9,13.9,11.9,point
2025-07-12 10:30:00 PM,13.9,87.9,13.9,11.9,point
2025-07-12 11:00:00 PM,13.7,87.7,13.7,11.7,point
2025-07-12 11:30:00 PM,13.7,87.8,13.7,11.7,point
2025-07-13 12:00:00 AM,13.8,88.8,13.9,11.9,point
2025-07-13 12:30:00 AM,13.6,88.2,13.7,11.7,point
2025-07-13 01:00:00 AM,15.8,89.2,16.0,14.1,point
2025-07-13 01:30:00 AM,16.2,87.3,16.2,14.1,point
2025-07-13 02:00:00 AM,16.2,87.0,16.3,14.1,point
2025-07-13 02:30:00 AM,16.2,86.1,16.1,13.9,point
2025-07-13 03:00:00 AM,16.3,86.8,16.3,14.1,point
2025-07-13 03:30:00 AM,16.4,87.0,16.4,14.2,point
2025-07-13 04:00:00 AM,16.4,86.8,16.4,14.2,point
2025-07-13 04:30:00 AM,16.4,86.7,16.5,14.2,point
2025-07-13 05:00:00 AM,16.2,86.6,16.3,14.0,point
2025-07-13 05:30:00 AM,16.3,86.6,16.3,14.1,point
2025-07-13 06:00:00 AM,16.3,86.5,16.3,14.0,point
2025-07-13 06:30:00 AM,16.4,86.5,16.4,14.1,point
2025-07-13 07:00:00 AM,16.4,87.0,16.5,14.2,point
2025-07-13 07:30:00 AM,16.4,86.6,16.5,14.2,point
2025-07-13 08:00:00 AM,16.6,87.8,16.6,14.6,point
2025-07-13 08:30:00 AM,16.9,87.5,16.9,14.8,point
2025-07-13 09:00:00 AM,17.4,88.1,17.4,15.4,point
2025-07-13 09:30:00 AM,17.9,88.3,18.1,16.0,point
2025-07-13 10:00:00 AM,18.3,87.7,18.3,16.2,point
2025-07-13 10:30:00 AM,18.6,88.8,18.8,16.7,point
2025-07-13 11:00:00 AM,18.9,88.2,19.1,16.9,point
2025-07-13 11:30:00 AM,19.2,89.0,19.5,17.3,point
2025-07-13 12:00:00 PM,19.4,88.6,19.9,17.5,point
2025-07-13 12:30:00 PM,19.9,89.5,20.3,18.1,point
2025-07-13 01:00:00 PM,20.1,88.8,20.7,18.2,point
2025-07-13 01:30:00 PM,20.6,89.9,21.3,18.9,point
2025-07-13 02:00:00 PM,20.8,88.3,21.5,18.8,point
2025-07-13 02:30:00 PM,20.5,87.5,21.0,18.3,point
2025-07-13 03:00:00 PM,20.2,87.4,20.6,18.0,point
2025-07-13 03:30:00 PM,19.8,86.3,20.2,17.4,point
2025-07-13 04:00:00 PM,19.5,86.3,19.8,17.2,point
2025-07-13 04:30:00 PM,19.2,85.6,19.4,16.8,point
2025-07-13 05:00:00 PM,18.9,85.9,19.0,16.5,point
2025-07-13 05:30:00 PM,18.5,85.1,18.5,15.9,point
2025-07-13 06:00:00 PM,18.0,85.4,17.9,15.5,point
2025-07-13 06:30:00 PM,17.5,84.6,17.5,14.9,point
2025-07-13 07:00:00 PM,17.0,83.4,17.0,14.2,point
2025-07-13 07:30:00 PM,16.6,84.0,16.6,13.9,point
2025-07-13 08:00:00 PM,15.5,86.0,15.5,13.2,point
2025-07-13 08:30:00 PM,15.0,86.8,15.1,12.8,point
2025-07-13 09:00:00 PM,14.6,86.7,14.7,12.4,point
2025-07-13 09:30:00 PM,14.1,85.7,14.0,11.7,point
2025-07-13 10:00:00 PM,14.0,87.7,14.0,11.9,point
2025-07-13 10:30:00 PM,13.9,88.2,14.0,12.0,point
2025-07-13 11:00:00 PM,13.9,88.1,13.9,11.9,point
2025-07-13 11:30:00 PM,13.9,87.7,13.9,11.8,point
2025-07-14 12:00:00 AM,13.9,88.7,14.0,12.1,point
2025-07-14 12:30:00 AM,13.8,87.8,13.9,11.8,point
2025-07-14 01:00:00 AM,16.0,89.5,16.2,14.3,point
2025-07-14 01:30:00 AM,16.1,86.7,16.2,13.9,point
2025-07-14 02:00:00 AM,16.2,86.7,16.3,14.0,point
2025-07-14 02:30:00 AM,16.2,86.7,16.3,14.0,point
2025-07-14 03:00:00 AM,16.2,86.7,16.3,14.0,point
2025-07-14 03:30:00 AM,16.3,87.2,16.3,14.2,point
2025-07-14 04:00:00 AM,16.3,86.3,16.3,14.0,point
2025-07-14 04:30:00 AM,16.4,86.4,16.4,14.1,point
2025-07-14 05:00:00 AM,16.2,86.1,16.2,13.9,point
2025-07-14 05:30:00 AM,16.3,86.5,16.4,14.1,point
2025-07-14 06:00:00 AM,16.3,86.4,16.4,14.1,point
2025-07-14 06:30:00 AM,16.3,86.5,16.3,14.0,point
2025-07-14 07:00:00 AM,16.2,86.2,16.2,13.9,point
2025-07-14 07:30:00 AM,16.3,86.5,16.3,14.0,point
2025-07-14 08:00:00 AM,16.6,87.5,16.6,14.5,point
2025-07-14 08:30:00 AM,17.0,87.2,17.0,14.8,point
2025-07-14 09:00:00 AM,17.4,88.2,17.5,15.5,point
2025-07-14 09:30:00 AM,17.9,88.8,18.0,16.0,point
2025-07-14 10:00:00 AM,18.1,88.2,18.1,16.1,point
2025-07-14 10:30:00 AM,18.4,87.0,18.5,16.2,point
2025-07-14 11:00:00 AM,18.7,88.3,19.0,16.8,point
2025-07-14 11:30:00 AM,19.1,88.4,19.4,17.1,point
2025-07-14 12:00:00 PM,19.4,87.8,19.8,17.3,point
2025-07-14 12:30:00 PM,19.8,89.0,20.2,17.9,point
2025-07-14 01:00:00 PM,20.0,87.5,20.5,17.9,point
2025-07-14 01:30:00 PM,20.5,88.2,21.0,18.4,point
2025-07-14 02:00:00 PM,20.6,87.5,21.3,18.5,point
2025-07-14 02:30:00 PM,20.4,87.1,21.0,18.2,point
2025-07-14 03:00:00 PM,20.1,86.2,20.4,17.7,point
2025-07-14 03:30:00 PM,19.8,85.5,20.2,17.3,point
2025-07-14 04:00:00 PM,19.6,85.7,19.8,17.1,point
2025-07-14 04:30:00 PM,19.3,86.0,19.4,16.9,point
2025-07-14 05:00:00 PM,18.9,85.2,19.0,16.4,point
2025-07-14 05:30:00 PM,18.3,84.7,18.2,15.7,point
2025-07-14 06:00:00 PM,17.9,85.2,17.8,15.4,point
2025-07-14 06:30:00 PM,17.5,85.6,17.5,15.1,point
2025-07-14 07:00:00 PM,17.0,85.0,17.0,14.5,point
2025-07-14 07:30:00 PM,16.5,83.8,16.4,13.7,point
2025-07-14 08:00:00 PM,15.4,87.1,15.5,13.3,point
2025-07-14 08:30:00 PM,14.9,86.2,14.8,12.6,point
2025-07-14 09:00:00 PM,14.4,86.9,14.5,12.3,point
2025-07-14 09:30:00 PM,14.1,87.5,14.1,12.0,point
2025-07-14 10:00:00 PM,13.8,88.0,13.8,11.8,point
2025-07-14 10:30:00 PM,13.7,87.8,13.7,11.7,point
2025-07-14 11:00:00 PM,13.6,88.2,13.7,11.7,point
2025-07-14 11:30:00 PM,13.7,88.0,13.8,11.8,point
2025-07-15 12:00:00 AM,13.7,89.2,13.9,12.0,point
2025-07-15 12:30:00 AM,13.7,88.6,13.8,11.8,point
2025-07-15 01:00:00 AM,15.9,89.5,16.0,14.2,point
2025-07-15 01:30:00 AM,16.1,87.6,16.2,14.1,point
2025-07-15 02:00:00 AM,16.1,87.2,16.2,14.0,point
2025-07-15 02:30:00 AM,16.2,87.4,16.3,14.1,point
2025-07-15 03:00:00 AM,16.2,87.8,16.3,14.2,point
2025-07-15 03:30:00 AM,16.2,87.3,16.3,14.1,point
2025-07-15 04:00:00 AM,16.1,85.1,16.0,13.6,point
2025-07-15 04:30:00 AM,16.2,86.6,16.3,14.0,point
2025-07-15 05:00:00 AM,16.3,87.5,16.4,14.2,point
2025-07-15 05:30:00 AM,16.2,87.2,16.3,14.1,point
2025-07-15 06:00:00 AM,16.2,86.9,16.3,14.0,point
2025-07-15 06:30:00 AM,16.2,87.4,16.3,14.1,point
2025-07-15 07:00:00 AM,16.2,86.6,16.3,14.0,point
2025-07-15 07:30:00 AM,16.2,86.8,16.3,14.0,point
2025-07-15 08:00:00 AM,16.4,87.8,16.4,14.3,point
2025-07-15 08:30:00 AM,16.8,89.0,17.0,15.0,point
2025-07-15 09:00:00 AM,17.5,89.1,17.7,15.7,point
2025-07-15 09:30:00 AM,17.7,88.4,17.9,15.8,point
2025-07-15 10:00:00 AM,18.1,88.5,18.3,16.2,point
2025-07-15 10:30:00 AM,18.6,89.2,18.8,16.8,point
2025-07-15 11:00:00 AM,18.9,89.2,19.1,17.1,point
2025-07-15 11:30:00 AM,19.1,88.8,19.5,17.2,point
2025-07-15 12:00:00 PM,19.5,89.7,19.9,17.7,point
2025-07-15 12:30:00 PM,19.7,88.5,20.1,17.7,point
2025-07-15 01:00:00 PM,20.1,90.0,20.8,18.4,point
2025-07-15 01:30:00 PM,20.5,89.1,21.0,18.6,point
2025-07-15 02:00:00 PM,20.6,88.5,21.3,18.7,point
2025-07-15 02:30:00 PM,20.4,87.3,21.0,18.2,point
2025-07-15 03:00:00 PM,20.3,84.5,20.7,17.6,point
2025-07-15 03:30:00 PM,19.6,84.7,19.9,17.0,point
2025-07-15 04:00:00 PM,19.2,86.0,19.4,16.8,point
2025-07-15 04:30:00 PM,18.8,86.2,19.0,16.5,point
2025-07-15 05:00:00 PM,18.4,86.1,18.4,16.0,point
2025-07-15 05:30:00 PM,18.3,82.1,18.1,15.2,point
2025-07-15 06:00:00 PM,17.6,85.0,17.6,15.1,point
2025-07-15 06:30:00 PM,17.2,86.0,17.2,14.9,point
2025-07-15 07:00:00 PM,16.8,85.0,16.7,14.2,point
2025-07-15 07:30:00 PM,16.4,86.4,16.4,14.1,point
2025-07-15 08:00:00 PM,15.2,87.3,15.3,13.2,point
2025-07-15 08:30:00 PM,14.7,88.8,14.8,12.8,point
2025-07-15 09:00:00 PM,14.3,89.0,14.5,12.5,point
2025-07-15 09:30:00 PM,13.8,88.2,14.0,11.9,point
2025-07-15 10:00:00 PM,13.6,89.2,13.7,11.8,point
2025-07-15 10:30:00 PM,13.5,90.0,13.7,11.9,point
2025-07-15 11:00:00 PM,13.4,89.0,13.5,11.6,point
2025-07-15 11:30:00 PM,13.5,90.3,13.7,11.9,point
2025-07-16 12:00:00 AM,13.4,90.1,13.6,11.9,point
2025-07-16 12:30:00 AM,13.5,91.0,13.7,12.1,point
2025-07-16 01:00:00 AM,15.6,91.6,15.9,14.3,point
2025-07-16 01:30:00 AM,15.9,89.0,16.0,14.1,point
2025-07-16 02:00:00 AM,16.0,89.2,16.2,14.2,point
2025-07-16 02:30:00 AM,15.9,88.6,16.0,14.0,point
2025-07-16 03:00:00 AM,16.0,88.0,16.0,14.0,point
2025-07-16 03:30:00 AM,16.1,88.9,16.2,14.2,point
2025-07-16 04:00:00 AM,16.0,87.6,16.1,13.9,point
2025-07-16 04:30:00 AM,16.0,88.2,16.0,14.0,point
2025-07-16 05:00:00 AM,16.0,87.9,16.1,14.0,point
2025-07-16 05:30:00 AM,16.0,88.4,16.2,14.1,point
2025-07-16 06:00:00 AM,16.1,87.4,16.1,14.0,point
2025-07-16 06:30:00 AM,16.1,88.3,16.3,14.2,point
2025-07-16 07:00:00 AM,16.2,88.6,16.3,14.3,point
2025-07-16 07:30:00 AM,16.1,88.5,16.3,14.2,point
2025-07-16 08:00:00 AM,16.4,88.9,16.5,14.6,point
2025-07-16 08:30:00 AM,16.8,89.5,17.0,15.1,point
2025-07-16 09:00:00 AM,17.1,89.0,17.2,15.3,point
2025-07-16 09:30:00 AM,17.6,89.4,17.7,15.8,point
2025-07-16 10:00:00 AM,18.1,90.4,18.4,16.5,point
2025-07-16 10:30:00 AM,18.3,90.5,18.7,16.7,point
2025-07-16 11:00:00 AM,18.6,89.8,18.9,16.9,point
2025-07-16 11:30:00 AM,18.9,90.1,19.4,17.3,point
2025-07-16 12:00:00 PM,19.3,91.1,19.8,17.8,point
2025-07-16 12:30:00 PM,19.5,90.3,20.1,17.9,point
2025-07-16 01:00:00 PM,19.9,91.4,20.6,18.5,point
2025-07-16 01:30:00 PM,20.4,91.6,21.1,19.0,point
2025-07-16 02:00:00 PM,20.4,90.1,21.1,18.8,point
2025-07-16 02:30:00 PM,20.1,88.0,20.6,18.1,point
2025-07-16 03:00:00 PM,20.1,89.4,20.6,18.2,point
2025-07-16 03:30:00 PM,19.8,89.5,20.3,18.0,point
2025-07-16 04:00:00 PM,19.5,89.0,20.0,17.6,point
2025-07-16 04:30:00 PM,19.2,88.9,19.6,17.4,point
2025-07-16 05:00:00 PM,18.9,88.3,19.1,16.9,point
2025-07-16 05:30:00 PM,18.4,87.1,18.5,16.2,point
2025-07-16 06:00:00 PM,18.0,87.5,18.1,15.9,point
2025-07-16 06:30:00 PM,17.5,86.8,17.5,15.3,point
2025-07-16 07:00:00 PM,17.0,86.3,17.1,14.7,point
2025-07-16 07:30:00 PM,16.6,86.2,16.6,14.3,point
2025-07-16 08:00:00 PM,15.6,88.5,15.7,13.7,point
2025-07-16 08:30:00 PM,15.0,89.4,15.1,13.3,point
2025-07-16 09:00:00 PM,14.6,88.8,14.7,12.8,point
2025-07-16 09:30:00 PM,14.1,88.6,14.2,12.2,point
2025-07-16 10:00:00 PM,13.8,89.7,14.0,12.2,point
2025-07-16 10:30:00 PM,13.8,90.1,13.9,12.2,point
2025-07-16 11:00:00 PM,13.7,90.5,13.8,12.2,point
2025-07-16 11:30:00 PM,13.6,90.9,13.7,12.1,point
2025-07-17 12:00:00 AM,13.7,90.7,13.8,12.2,point
2025-07-17 12:30:00 AM,13.4,88.7,13.6,11.6,point
2025-07-17 01:00:00 AM,15.7,91.7,16.0,14.4,point
2025-07-17 01:30:00 AM,16.0,89.6,16.2,14.3,point
2025-07-17 02:00:00 AM,16.1,89.6,16.2,14.4,point
2025-07-17 02:30:00 AM,16.1,88.6,16.2,14.2,point
2025-07-17 03:00:00 AM,16.0,88.8,16.2,14.2,point
2025-07-17 03:30:00 AM,16.1,88.3,16.2,14.2,point
2025-07-17 04:00:00 AM,16.0,88.4,16.2,14.1,point
2025-07-17 04:30:00 AM,16.1,88.7,16.2,14.2,point
2025-07-17 05:00:00 AM,16.2,88.8,16.3,14.3,point
2025-07-17 05:30:00 AM,16.1,88.3,16.3,14.2,point
2025-07-17 06:00:00 AM,16.2,89.0,16.4,14.4,point
2025-07-17 06:30:00 AM,16.2,88.8,16.4,14.3,point
2025-07-17 07:00:00 AM,16.2,87.9,16.2,14.2,point
2025-07-17 07:30:00 AM,16.3,88.7,16.5,14.4,point
2025-07-17 08:00:00 AM,16.4,88.5,16.5,14.4,point
2025-07-17 08:30:00 AM,16.9,90.0,17.1,15.2,point
2025-07-17 09:00:00 AM,17.3,90.5,17.5,15.7,point
2025-07-17 09:30:00 AM,17.7,90.1,18.0,16.1,point
2025-07-17 10:00:00 AM,18.2,91.7,18.5,16.9,point
2025-07-17 10:30:00 AM,18.4,91.1,18.8,17.0,point
2025-07-17 11:00:00 AM,18.8,91.2,19.1,17.3,point
2025-07-17 11:30:00 AM,19.1,91.1,19.6,17.6,point
2025-07-17 12:00:00 PM,19.3,91.1,19.8,17.9,point
2025-07-17 12:30:00 PM,19.9,90.1,20.6,18.2,point
2025-07-17 01:00:00 PM,20.3,90.6,20.9,18.7,point
2025-07-17 01:30:00 PM,21.3,90.0,22.1,19.6,point
2025-07-17 02:00:00 PM,21.2,89.8,22.0,19.5,point
2025-07-17 02:30:00 PM,20.9,88.8,21.6,19.0,point
2025-07-17 03:00:00 PM,20.6,89.8,21.2,18.9,point
2025-07-17 03:30:00 PM,20.3,90.4,21.0,18.7,point
2025-07-17 04:00:00 PM,19.9,89.5,20.3,18.1,point
2025-07-17 04:30:00 PM,19.7,89.3,20.2,17.9,point
2025-07-17 05:00:00 PM,19.3,88.7,19.7,17.4,point
2025-07-17 05:30:00 PM,18.9,88.2,19.1,16.9,point
2025-07-17 06:00:00 PM,18.3,88.0,18.5,16.3,point
2025-07-17 06:30:00 PM,17.8,87.5,17.8,15.7,point
2025-07-17 07:00:00 PM,17.5,87.6,17.5,15.4,point
2025-07-17 07:30:00 PM,17.0,87.2,17.0,14.8,point
2025-07-17 08:00:00 PM,15.7,89.8,15.8,14.0,point
2025-07-17 08:30:00 PM,15.2,91.1,15.5,13.8,point
2025-07-17 09:00:00 PM,14.7,89.8,14.8,13.0,point
2025-07-17 09:30:00 PM,14.2,89.2,14.4,12.4,point
2025-07-17 10:00:00 PM,14.0,90.8,14.2,12.5,point
2025-07-17 10:30:00 PM,13.8,90.8,14.1,12.3,point
