TreeID,Conductance_mmol_m2s,date,spp,id,con,temp,water,week
PIEN28,137.3,2025-09-19T07:00:00Z,PIEN,28,137.3,ambient,drought,9
PIEN31,222.9,2025-09-19T07:00:00Z,PIEN,31,222.9,heatwave,water,9
PIEN33,125.2,2025-09-19T07:00:00Z,PIEN,33,125.2,heatwave,drought,9
PIEN34,233.8,2025-09-19T07:00:00Z,PIEN,34,233.8,heatwave,water,9
PIEN35,92,2025-09-19T07:00:00Z,PIEN,35,92,heatwave,drought,9
PIEN38,339.2,2025-09-19T07:00:00Z,PIEN,38,339.2,heatwave,water,9
PIEN40,89.8,2025-09-19T07:00:00Z,PIEN,40,89.8,heatwave,drought,9
PIEN42,147.6,2025-09-19T07:00:00Z,PIEN,42,147.6,heatwave,water,9
PIEN45,97.5,2025-09-19T07:00:00Z,PIEN,45,97.5,heatwave,drought,9
PIEN46,343.8,2025-09-19T07:00:00Z,PIEN,46,343.8,heatwave,water,9
PIEN56,152.8,2025-09-19T07:00:00Z,PIEN,56,152.8,heatwave,drought,9
PIEN1,310.9,2025-09-26T07:00:00Z,PIEN,1,310.9,ambient,water,10
PIEN4,161.9,2025-09-26T07:00:00Z,PIEN,4,161.9,ambient,drought,10
PIEN9,304.5,2025-09-26T07:00:00Z,PIEN,9,304.5,ambient,water,10
PIEN14,139.8,2025-09-26T07:00:00Z,PIEN,14,139.8,ambient,drought,10
PIEN18,342.8,2025-09-26T07:00:00Z,PIEN,18,342.8,ambient,water,10
PIEN21,114.9,2025-09-26T07:00:00Z,PIEN,21,114.9,ambient,drought,10
PIEN24,258.1,2025-09-26T07:00:00Z,PIEN,24,258.1,ambient,water,10
PIEN26,113.2,2025-09-26T07:00:00Z,PIEN,26,113.2,ambient,drought,10
PIEN27,363.8,2025-09-26T07:00:00Z,PIEN,27,363.8,ambient,water,10
PIEN28,89.3,2025-09-26T07:00:00Z,PIEN,28,89.3,ambient,drought,10
PIEN31,181.9,2025-09-26T07:00:00Z,PIEN,31,181.9,heatwave,water,10
PIEN33,103.8,2025-09-26T07:00:00Z,PIEN,33,103.8,heatwave,drought,10
PIEN34,385.3,2025-09-26T07:00:00Z,PIEN,34,385.3,heatwave,water,10
PIEN35,113.3,2025-09-26T07:00:00Z,PIEN,35,113.3,heatwave,drought,10
PIEN38,204.3,2025-09-26T07:00:00Z,PIEN,38,204.3,heatwave,water,10
PIEN40,74.7,2025-09-26T07:00:00Z,PIEN,40,74.7,heatwave,drought,10
PIEN42,176.2,2025-09-26T07:00:00Z,PIEN,42,176.2,heatwave,water,10
PIEN45,135.6,2025-09-26T07:00:00Z,PIEN,45,135.6,heatwave,drought,10
PIEN46,478.2,2025-09-26T07:00:00Z,PIEN,46,478.2,heatwave,water,10
PIEN56,136.9,2025-09-26T07:00:00Z,PIEN,56,136.9,heatwave,drought,10
PIEN1,197.7,2025-10-03T07:00:00Z,PIEN,1,197.7,ambient,water,11
PIEN4,91.9,2025-10-03T07:00:00Z,PIEN,4,91.9,ambient,drought,11
PIEN9,315.9,2025-10-03T07:00:00Z,PIEN,9,315.9,ambient,water,11
PIEN14,95.3,2025-10-03T07:00:00Z,PIEN,14,95.3,ambient,drought,11
PIEN18,297.5,2025-10-03T07:00:00Z,PIEN,18,297.5,ambient,water,11
PIEN21,83.1,2025-10-03T07:00:00Z,PIEN,21,83.1,ambient,drought,11
PIEN24,277.5,2025-10-03T07:00:00Z,PIEN,24,277.5,ambient,water,11
PIEN26,90.9,2025-10-03T07:00:00Z,PIEN,26,90.9,ambient,drought,11
PIEN27,329.8,2025-10-03T07:00:00Z,PIEN,27,329.8,ambient,water,11
PIEN28,76.4,2025-10-03T07:00:00Z,PIEN,28,76.4,ambient,drought,11
PIEN31,171.4,2025-10-03T07:00:00Z,PIEN,31,171.4,heatwave,water,11
PIEN33,86.7,2025-10-03T07:00:00Z,PIEN,33,86.7,heatwave,drought,11
PIEN34,182.3,2025-10-03T07:00:00Z,PIEN,34,182.3,heatwave,water,11
PIEN35,95.6,2025-10-03T07:00:00Z,PIEN,35,95.6,heatwave,drought,11
PIEN38,175.2,2025-10-03T07:00:00Z,PIEN,38,175.2,heatwave,water,11
PIEN40,66.8,2025-10-03T07:00:00Z,PIEN,40,66.8,heatwave,drought,11
PIEN42,245.6,2025-10-03T07:00:00Z,PIEN,42,245.6,heatwave,water,11
PIEN45,78.3,2025-10-03T07:00:00Z,PIEN,45,78.3,heatwave,drought,11
PIEN46,423.2,2025-10-03T07:00:00Z,PIEN,46,423.2,heatwave,water,11
PIEN56,87,2025-10-03T07:00:00Z,PIEN,56,87,heatwave,drought,11
PIEN1,208.1,2025-10-10T07:00:00Z,PIEN,1,208.1,ambient,water,12
PIEN4,90.5,2025-10-10T07:00:00Z,PIEN,4,90.5,ambient,drought,12
PIEN9,381.4,2025-10-10T07:00:00Z,PIEN,9,381.4,ambient,water,12
PIEN14,103.5,2025-10-10T07:00:00Z,PIEN,14,103.5,ambient,drought,12
PIEN18,287.2,2025-10-10T07:00:00Z,PIEN,18,287.2,ambient,water,12
PIEN21,92.5,2025-10-10T07:00:00Z,PIEN,21,92.5,ambient,drought,12
PIEN24,247.9,2025-10-10T07:00:00Z,PIEN,24,247.9,ambient,water,12
PIEN26,85.9,2025-10-10T07:00:00Z,PIEN,26,85.9,ambient,drought,12
PIEN27,302.2,2025-10-10T07:00:00Z,PIEN,27,302.2,ambient,water,12
PIEN28,72,2025-10-10T07:00:00Z,PIEN,28,72,ambient,drought,12
PIEN31,171.2,2025-10-10T07:00:00Z,PIEN,31,171.2,heatwave,water,12
PIEN33,113.1,2025-10-10T07:00:00Z,PIEN,33,113.1,heatwave,drought,12
PIEN34,342.9,2025-10-10T07:00:00Z,PIEN,34,342.9,heatwave,water,12
PIEN35,90.4,2025-10-10T07:00:00Z,PIEN,35,90.4,heatwave,drought,12
PIEN38,297.7,2025-10-10T07:00:00Z,PIEN,38,297.7,heatwave,water,12
PIEN40,76.1,2025-10-10T07:00:00Z,PIEN,40,76.1,heatwave,drought,12
