TreeID,Fv_Fm_dark,date,spp,id,temp,water,week
PIFL43,0.8,2025-09-22T07:00:00Z,PIFL,43,heatwave,drought,10
PIFL46,0.81,2025-09-22T07:00:00Z,PIFL,46,heatwave,water,10
PIFL47,0.73,2025-09-22T07:00:00Z,PIFL,47,heatwave,drought,10
PIFL52,0.8,2025-09-22T07:00:00Z,PIFL,52,heatwave,water,10
PIFL54,0.81,2025-09-22T07:00:00Z,PIFL,54,heatwave,drought,10
PIFL55,0.82,2025-09-22T07:00:00Z,PIFL,55,heatwave,water,10
PIFL57,0.8,2025-09-22T07:00:00Z,PIFL,57,heatwave,drought,10
PIPO1,0.82,2025-08-04T07:00:00Z,PIPO,1,ambient,water,3
PIPO2,0.8,2025-08-04T07:00:00Z,PIPO,2,ambient,drought,3
PIPO5,0.82,2025-08-04T07:00:00Z,PIPO,5,ambient,water,3
PIPO10,0.81,2025-08-04T07:00:00Z,PIPO,10,ambient,drought,3
PIPO11,0.82,2025-08-04T07:00:00Z,PIPO,11,ambient,water,3
PIPO16,0.81,2025-08-04T07:00:00Z,PIPO,16,ambient,drought,3
PIPO18,0.83,2025-08-04T07:00:00Z,PIPO,18,ambient,water,3
PIPO19,0.81,2025-08-04T07:00:00Z,PIPO,19,ambient,drought,3
PIPO20,0.82,2025-08-04T07:00:00Z,PIPO,20,ambient,water,3
PIPO22,0.81,2025-08-04T07:00:00Z,PIPO,22,ambient,drought,3
PIPO31,0.81,2025-08-04T07:00:00Z,PIPO,31,heatwave,water,3
PIPO32,0.82,2025-08-04T07:00:00Z,PIPO,32,heatwave,drought,3
PIPO35,0.8,2025-08-04T07:00:00Z,PIPO,35,heatwave,water,3
PIPO48,0.81,2025-08-04T07:00:00Z,PIPO,48,heatwave,drought,3
PIPO51,0.82,2025-08-04T07:00:00Z,PIPO,51,heatwave,water,3
PIPO52,0.82,2025-08-04T07:00:00Z,PIPO,52,heatwave,drought,3
PIPO53,0.82,2025-08-04T07:00:00Z,PIPO,53,heatwave,water,3
PIPO55,0.81,2025-08-04T07:00:00Z,PIPO,55,heatwave,drought,3
PIPO56,0.81,2025-08-04T07:00:00Z,PIPO,56,heatwave,water,3
PIPO58,0.82,2025-08-04T07:00:00Z,PIPO,58,heatwave,drought,3
PIPO1,0.81,2025-08-11T07:00:00Z,PIPO,1,ambient,water,4
PIPO2,0.8,2025-08-11T07:00:00Z,PIPO,2,ambient,drought,4
PIPO5,0.81,2025-08-11T07:00:00Z,PIPO,5,ambient,water,4
PIPO10,0.8,2025-08-11T07:00:00Z,PIPO,10,ambient,drought,4
PIPO11,0.81,2025-08-11T07:00:00Z,PIPO,11,ambient,water,4
PIPO16,0.69,2025-08-11T07:00:00Z,PIPO,16,ambient,drought,4
PIPO18,0.81,2025-08-11T07:00:00Z,PIPO,18,ambient,water,4
PIPO19,0.79,2025-08-11T07:00:00Z,PIPO,19,ambient,drought,4
PIPO20,0.81,2025-08-11T07:00:00Z,PIPO,20,ambient,water,4
PIPO22,0.8,2025-08-11T07:00:00Z,PIPO,22,ambient,drought,4
PIPO31,0.78,2025-08-11T07:00:00Z,PIPO,31,heatwave,water,4
PIPO32,0.8,2025-08-11T07:00:00Z,PIPO,32,heatwave,drought,4
PIPO35,0.78,2025-08-11T07:00:00Z,PIPO,35,heatwave,water,4
PIPO48,0.79,2025-08-11T07:00:00Z,PIPO,48,heatwave,drought,4
PIPO51,0.79,2025-08-11T07:00:00Z,PIPO,51,heatwave,water,4
PIPO52,0.77,2025-08-11T07:00:00Z,PIPO,52,heatwave,drought,4
PIPO53,0.8,2025-08-11T07:00:00Z,PIPO,53,heatwave,water,4
PIPO55,0.79,2025-08-11T07:00:00Z,PIPO,55,heatwave,drought,4
PIPO56,0.8,2025-08-11T07:00:00Z,PIPO,56,heatwave,water,4
PIPO58,0.8,2025-08-11T07:00:00Z,PIPO,58,heatwave,drought,4
PIPO1,0.81,2025-08-18T07:00:00Z,PIPO,1,ambient,water,5
PIPO2,0.79,2025-08-18T07:00:00Z,PIPO,2,ambient,drought,5
PIPO5,0.8,2025-08-18T07:00:00Z,PIPO,5,ambient,water,5
PIPO10,0.81,2025-08-18T07:00:00Z,PIPO,10,ambient,drought,5
PIPO11,0.8,2025-08-18T07:00:00Z,PIPO,11,ambient,water,5
PIPO16,0.79,2025-08-18T07:00:00Z,PIPO,16,ambient,drought,5
PIPO18,0.82,2025-08-18T07:00:00Z,PIPO,18,ambient,water,5
PIPO19,0.8,2025-08-18T07:00:00Z,PIPO,19,ambient,drought,5
PIPO20,0.81,2025-08-18T07:00:00Z,PIPO,20,ambient,water,5
PIPO22,0.8,2025-08-18T07:00:00Z,PIPO,22,ambient,drought,5
PIPO31,0.79,2025-08-18T07:00:00Z,PIPO,31,heatwave,water,5
PIPO32,0.81,2025-08-18T07:00:00Z,PIPO,32,heatwave,drought,5
PIPO35,0.78,2025-08-18T07:00:00Z,PIPO,35,heatwave,water,5
PIPO48,0.79,2025-08-18T07:00:00Z,PIPO,48,heatwave,drought,5
PIPO51,0.79,2025-08-18T07:00:00Z,PIPO,51,heatwave,water,5
PIPO52,0.8,2025-08-18T07:00:00Z,PIPO,52,heatwave,drought,5
PIPO53,0.79,2025-08-18T07:00:00Z,PIPO,53,heatwave,water,5
PIPO55,0.79,2025-08-18T07:00:00Z,PIPO,55,heatwave,drought,5
PIPO56,0.79,2025-08-18T07:00:00Z,PIPO,56,heatwave,water,5
