TreeID,date,spp,id,brown_perc,diam_mm,temp,water,weight,day,week
PIEN4,2025-07-31T07:00:00Z,PIEN,4,10,4.8,ambient,drought,463.6,10,2
PIEN5,2025-07-31T07:00:00Z,PIEN,5,10,5.2,ambient,drought,429.7,10,2
PIEN6,2025-07-31T07:00:00Z,PIEN,6,10,5.2,ambient,drought,496.2,10,2
PIEN7,2025-07-31T07:00:00Z,PIEN,7,10,5.2,ambient,drought,437,10,2
PIEN8,2025-07-31T07:00:00Z,PIEN,8,10,4.9,ambient,drought,489.4,10,2
PIEN9,2025-07-31T07:00:00Z,PIEN,9,10,4.6,ambient,water,538.5,10,2
PIEN10,2025-07-31T07:00:00Z,PIEN,10,10,5.1,ambient,drought,423,10,2
PIEN11,2025-07-31T07:00:00Z,PIEN,11,10,5.6,ambient,drought,403.6,10,2
PIEN12,2025-07-31T07:00:00Z,PIEN,12,10,4.9,ambient,drought,489.5,10,2
PIEN13,2025-07-31T07:00:00Z,PIEN,13,10,5.4,ambient,drought,431.1,10,2
PIEN14,2025-07-31T07:00:00Z,PIEN,14,10,6,ambient,drought,456.5,10,2
PIEN15,2025-07-31T07:00:00Z,PIEN,15,10,5.2,ambient,drought,467.8,10,2
PIEN16,2025-07-31T07:00:00Z,PIEN,16,10,5.9,ambient,drought,474,10,2
PIEN17,2025-07-31T07:00:00Z,PIEN,17,10,5.8,ambient,drought,479.1,10,2
PIEN18,2025-07-31T07:00:00Z,PIEN,18,10,5.2,ambient,water,509.7,10,2
PIEN19,2025-07-31T07:00:00Z,PIEN,19,10,4,ambient,drought,506.4,10,2
PIEN20,2025-07-31T07:00:00Z,PIEN,20,10,5.6,ambient,drought,433.8,10,2
PIEN21,2025-07-31T07:00:00Z,PIEN,21,10,5.7,ambient,drought,473.4,10,2
PIEN22,2025-07-31T07:00:00Z,PIEN,22,10,5.2,ambient,drought,419.1,10,2
PIEN23,2025-07-31T07:00:00Z,PIEN,23,10,4.4,ambient,drought,491.6,10,2
PIEN24,2025-07-31T07:00:00Z,PIEN,24,10,5.6,ambient,water,511.3,10,2
PIEN25,2025-07-31T07:00:00Z,PIEN,25,10,4.8,ambient,drought,439.9,10,2
PIEN26,2025-07-31T07:00:00Z,PIEN,26,10,6.6,ambient,drought,463.6,10,2
PIEN27,2025-07-31T07:00:00Z,PIEN,27,10,5.6,ambient,water,503.9,10,2
PIEN28,2025-07-31T07:00:00Z,PIEN,28,10,5.3,ambient,drought,407.8,10,2
PIEN29,2025-07-31T07:00:00Z,PIEN,29,10,3.4,ambient,drought,519.3,10,2
PIEN30,2025-07-31T07:00:00Z,PIEN,30,10,5.2,ambient,drought,441.7,10,2
PIEN31,2025-07-31T07:00:00Z,PIEN,31,10,4.6,heatwave,water,521,10,2
PIEN32,2025-07-31T07:00:00Z,PIEN,32,10,3,heatwave,drought,491.4,10,2
PIEN33,2025-07-31T07:00:00Z,PIEN,33,10,4.4,heatwave,drought,453.5,10,2
PIEN34,2025-07-31T07:00:00Z,PIEN,34,10,5.3,heatwave,water,452.2,10,2
PIEN35,2025-07-31T07:00:00Z,PIEN,35,10,5.2,heatwave,drought,447.1,10,2
PIEN36,2025-07-31T07:00:00Z,PIEN,36,10,4,heatwave,drought,405.1,10,2
PIEN37,2025-07-31T07:00:00Z,PIEN,37,10,3.4,heatwave,drought,478.3,10,2
PIEN38,2025-07-31T07:00:00Z,PIEN,38,10,6.2,heatwave,water,422.2,10,2
PIEN39,2025-07-31T07:00:00Z,PIEN,39,10,5,heatwave,drought,486.5,10,2
PIEN40,2025-07-31T07:00:00Z,PIEN,40,10,6.3,heatwave,drought,396.7,10,2
PIEN41,2025-07-31T07:00:00Z,PIEN,41,10,4.6,heatwave,drought,363.1,10,2
