TreeID,VWC_perc,date,spp,id,temp,water,day
PIEN40,0,2025-09-19,PIEN,40,heatwave,drought,60
PIEN42,15.8,2025-09-19,PIEN,42,heatwave,water,60
PIEN45,0,2025-09-19,PIEN,45,heatwave,drought,60
PIEN46,15.7,2025-09-19,PIEN,46,heatwave,water,60
PIEN56,0,2025-09-19,PIEN,56,heatwave,drought,60
PIEN1,15,2025-09-26,PIEN,1,ambient,water,67
PIEN4,0,2025-09-26,PIEN,4,ambient,drought,67
PIEN9,16.9,2025-09-26,PIEN,9,ambient,water,67
PIEN14,0.5,2025-09-26,PIEN,14,ambient,drought,67
PIEN18,15,2025-09-26,PIEN,18,ambient,water,67
PIEN21,0,2025-09-26,PIEN,21,ambient,drought,67
PIEN24,18.7,2025-09-26,PIEN,24,ambient,water,67
PIEN26,0,2025-09-26,PIEN,26,ambient,drought,67
PIEN27,16.7,2025-09-26,PIEN,27,ambient,water,67
PIEN28,0,2025-09-26,PIEN,28,ambient,drought,67
PIEN31,14.6,2025-09-26,PIEN,31,heatwave,water,67
PIEN33,0,2025-09-26,PIEN,33,heatwave,drought,67
PIEN34,16.8,2025-09-26,PIEN,34,heatwave,water,67
PIEN35,0,2025-09-26,PIEN,35,heatwave,drought,67
PIEN38,17.4,2025-09-26,PIEN,38,heatwave,water,67
PIEN40,0,2025-09-26,PIEN,40,heatwave,drought,67
PIEN42,17.9,2025-09-26,PIEN,42,heatwave,water,67
PIEN45,0,2025-09-26,PIEN,45,heatwave,drought,67
PIEN46,18.7,2025-09-26,PIEN,46,heatwave,water,67
PIEN56,0,2025-09-26,PIEN,56,heatwave,drought,67
PIEN1,14.7,2025-10-03,PIEN,1,ambient,water,74
PIEN4,0,2025-10-03,PIEN,4,ambient,drought,74
PIEN9,16.2,2025-10-03,PIEN,9,ambient,water,74
PIEN14,0,2025-10-03,PIEN,14,ambient,drought,74
PIEN18,14.8,2025-10-03,PIEN,18,ambient,water,74
PIEN21,0,2025-10-03,PIEN,21,ambient,drought,74
PIEN24,15.9,2025-10-03,PIEN,24,ambient,water,74
PIEN26,0,2025-10-03,PIEN,26,ambient,drought,74
PIEN27,16.2,2025-10-03,PIEN,27,ambient,water,74
PIEN28,0,2025-10-03,PIEN,28,ambient,drought,74
PIEN31,15.4,2025-10-03,PIEN,31,heatwave,water,74
PIEN33,0,2025-10-03,PIEN,33,heatwave,drought,74
PIEN34,15.1,2025-10-03,PIEN,34,heatwave,water,74
PIEN35,0,2025-10-03,PIEN,35,heatwave,drought,74
PIEN38,14.9,2025-10-03,PIEN,38,heatwave,water,74
PIEN40,0,2025-10-03,PIEN,40,heatwave,drought,74
PIEN42,15.3,2025-10-03,PIEN,42,heatwave,water,74
PIEN45,0,2025-10-03,PIEN,45,heatwave,drought,74
PIEN46,16.9,2025-10-03,PIEN,46,heatwave,water,74
PIEN56,0,2025-10-03,PIEN,56,heatwave,drought,74
PIEN1,13.3,2025-10-10,PIEN,1,ambient,water,81
PIEN4,0,2025-10-10,PIEN,4,ambient,drought,81
PIEN9,16.5,2025-10-10,PIEN,9,ambient,water,81
PIEN14,0,2025-10-10,PIEN,14,ambient,drought,81
PIEN18,13.9,2025-10-10,PIEN,18,ambient,water,81
PIEN21,0,2025-10-10,PIEN,21,ambient,drought,81
PIEN24,13.9,2025-10-10,PIEN,24,ambient,water,81
PIEN26,0,2025-10-10,PIEN,26,ambient,drought,81
PIEN27,14,2025-10-10,PIEN,27,ambient,water,81
PIEN28,0,2025-10-10,PIEN,28,ambient,drought,81
PIEN31,13.1,2025-10-10,PIEN,31,heatwave,water,81
PIEN33,0,2025-10-10,PIEN,33,heatwave,drought,81
PIEN34,12.7,2025-10-10,PIEN,34,heatwave,water,81
PIEN35,0,2025-10-10,PIEN,35,heatwave,drought,81
PIEN38,10.9,2025-10-10,PIEN,38,heatwave,water,81
PIEN40,0,2025-10-10,PIEN,40,heatwave,drought,81
PIEN42,14.5,2025-10-10,PIEN,42,heatwave,water,81
PIEN45,0,2025-10-10,PIEN,45,heatwave,drought,81
PIEN46,16.8,2025-10-10,PIEN,46,heatwave,water,81
PIEN56,0,2025-10-10,PIEN,56,heatwave,drought,81
PIEN1,16.2,2025-10-17,PIEN,1,ambient,water,88
PIEN4,0,2025-10-17,PIEN,4,ambient,drought,88
PIEN9,17.2,2025-10-17,PIEN,9,ambient,water,88
PIEN14,0,2025-10-17,PIEN,14,ambient,drought,88
PIEN18,16.8,2025-10-17,PIEN,18,ambient,water,88
PIEN21,0,2025-10-17,PIEN,21,ambient,drought,88
PIEN24,18.5,2025-10-17,PIEN,24,ambient,water,88
PIEN26,0,2025-10-17,PIEN,26,ambient,drought,88
PIEN27,16.9,2025-10-17,PIEN,27,ambient,water,88
PIEN28,0,2025-10-17,PIEN,28,ambient,drought,88
PIEN31,15.9,2025-10-17,PIEN,31,heatwave,water,88
PIEN33,0,2025-10-17,PIEN,33,heatwave,drought,88
PIEN34,15.9,2025-10-17,PIEN,34,heatwave,water,88
PIEN35,0,2025-10-17,PIEN,35,heatwave,drought,88
PIEN38,14.1,2025-10-17,PIEN,38,heatwave,water,88
PIEN40,0,2025-10-17,PIEN,40,heatwave,drought,88
PIEN42,17.9,2025-10-17,PIEN,42,heatwave,water,88
PIEN45,0,2025-10-17,PIEN,45,heatwave,drought,88
PIEN46,19.7,2025-10-17,PIEN,46,heatwave,water,88
PIEN56,0,2025-10-17,PIEN,56,heatwave,drought,88
PIEN1,12,2025-10-24,PIEN,1,ambient,water,95
PIEN4,0,2025-10-24,PIEN,4,ambient,drought,95
PIEN9,16.4,2025-10-24,PIEN,9,ambient,water,95
PIEN14,0,2025-10-24,PIEN,14,ambient,drought,95
PIEN18,14.8,2025-10-24,PIEN,18,ambient,water,95
PIEN21,0,2025-10-24,PIEN,21,ambient,drought,95
PIEN24,14.1,2025-10-24,PIEN,24,ambient,water,95
PIEN26,0,2025-10-24,PIEN,26,ambient,drought,95
PIEN27,13.2,2025-10-24,PIEN,27,ambient,water,95
PIEN28,0,2025-10-24,PIEN,28,ambient,drought,95
PIEN31,13.8,2025-10-24,PIEN,31,heatwave,water,95
PIEN33,0,2025-10-24,PIEN,33,heatwave,drought,95
PIEN34,13.7,2025-10-24,PIEN,34,heatwave,water,95
PIEN35,0,2025-10-24,PIEN,35,heatwave,drought,95
PIEN38,10.2,2025-10-24,PIEN,38,heatwave,water,95
PIEN40,0,2025-10-24,PIEN,40,heatwave,drought,95
PIEN42,14.4,2025-10-24,PIEN,42,heatwave,water,95
PIEN45,0,2025-10-24,PIEN,45,heatwave,drought,95
PIEN46,15.7,2025-10-24,PIEN,46,heatwave,water,95
PIEN56,0,2025-10-24,PIEN,56,heatwave,drought,95
PIEN1,12.8,2025-10-31,PIEN,1,ambient,water,102
PIEN4,0,2025-10-31,PIEN,4,ambient,drought,102
PIEN9,16.6,2025-10-31,PIEN,9,ambient,water,102
PIEN14,0,2025-10-31,PIEN,14,ambient,drought,102
PIEN18,14,2025-10-31,PIEN,18,ambient,water,102
PIEN21,0,2025-10-31,PIEN,21,ambient,drought,102
PIEN24,14,2025-10-31,PIEN,24,ambient,water,102
PIEN26,0,2025-10-31,PIEN,26,ambient,drought,102
PIEN27,14.3,2025-10-31,PIEN,27,ambient,water,102
PIEN28,0,2025-10-31,PIEN,28,ambient,drought,102
PIEN31,13.6,2025-10-31,PIEN,31,heatwave,water,102
PIEN33,0,2025-10-31,PIEN,33,heatwave,drought,102
PIEN34,13.5,2025-10-31,PIEN,34,heatwave,water,102
PIEN35,0,2025-10-31,PIEN,35,heatwave,drought,102
PIEN38,10.7,2025-10-31,PIEN,38,heatwave,water,102
PIEN40,0,2025-10-31,PIEN,40,heatwave,drought,102
PIEN42,14.3,2025-10-31,PIEN,42,heatwave,water,102
PIEN45,0,2025-10-31,PIEN,45,heatwave,drought,102
PIEN46,17.8,2025-10-31,PIEN,46,heatwave,water,102
PIEN56,0,2025-10-31,PIEN,56,heatwave,drought,102
PIEN1,13,2025-11-07,PIEN,1,ambient,water,109
PIEN4,0,2025-11-07,PIEN,4,ambient,drought,109
PIEN9,16.3,2025-11-07,PIEN,9,ambient,water,109
PIEN14,0,2025-11-07,PIEN,14,ambient,drought,109
PIEN18,13.8,2025-11-07,PIEN,18,ambient,water,109
PIEN21,0,2025-11-07,PIEN,21,ambient,drought,109
PIEN24,13.2,2025-11-07,PIEN,24,ambient,water,109
PIEN26,0,2025-11-07,PIEN,26,ambient,drought,109
PIEN27,12.1,2025-11-07,PIEN,27,ambient,water,109
PIEN28,0,2025-11-07,PIEN,28,ambient,drought,109
PIEN31,13.2,2025-11-07,PIEN,31,heatwave,water,109
PIEN33,0,2025-11-07,PIEN,33,heatwave,drought,109
PIEN34,13.9,2025-11-07,PIEN,34,heatwave,water,109
PIEN38,11.1,2025-11-07,PIEN,38,heatwave,water,109
PIEN42,13.1,2025-11-07,PIEN,42,heatwave,water,109
PIEN46,16.2,2025-11-07,PIEN,46,heatwave,water,109
PIEN56,0,2025-11-07,PIEN,56,heatwave,drought,109
PIEN1,18.4,2025-11-17,PIEN,1,ambient,water,119
PIEN4,0,2025-11-17,PIEN,4,ambient,drought,119
PIEN9,19.6,2025-11-17,PIEN,9,ambient,water,119
PIEN14,0,2025-11-17,PIEN,14,ambient,drought,119
PIEN18,17.1,2025-11-17,PIEN,18,ambient,water,119
PIEN24,19.2,2025-11-17,PIEN,24,ambient,water,119
PIEN26,0,2025-11-17,PIEN,26,ambient,drought,119
PIEN27,17.9,2025-11-17,PIEN,27,ambient,water,119
PIEN31,19.1,2025-11-17,PIEN,31,heatwave,water,119
PIEN33,0,2025-11-17,PIEN,33,heatwave,drought,119
PIEN34,19.2,2025-11-17,PIEN,34,heatwave,water,119
PIEN38,18.9,2025-11-17,PIEN,38,heatwave,water,119
PIEN42,19.6,2025-11-17,PIEN,42,heatwave,water,119
PIEN46,21,2025-11-17,PIEN,46,heatwave,water,119
PIEN56,0,2025-11-17,PIEN,56,heatwave,drought,119
PIFL1,10.9,2025-07-24,PIFL,1,ambient,water,3
PIFL3,9.5,2025-07-24,PIFL,3,ambient,drought,3
PIFL9,8.8,2025-07-24,PIFL,9,ambient,water,3
PIFL10,8.5,2025-07-24,PIFL,10,ambient,drought,3
PIFL12,8.2,2025-07-24,PIFL,12,ambient,water,3
PIFL17,9.1,2025-07-24,PIFL,17,ambient,drought,3
PIFL21,10.6,2025-07-24,PIFL,21,ambient,water,3
PIFL27,10.5,2025-07-24,PIFL,27,ambient,drought,3
PIFL28,10.1,2025-07-24,PIFL,28,ambient,water,3
PIFL29,11.5,2025-07-24,PIFL,29,ambient,drought,3
PIFL36,10.7,2025-07-24,PIFL,36,heatwave,water,3
PIFL40,11.2,2025-07-24,PIFL,40,heatwave,drought,3
PIFL41,9.2,2025-07-24,PIFL,41,heatwave,water,3
PIFL43,9.2,2025-07-24,PIFL,43,heatwave,drought,3
PIFL46,9.9,2025-07-24,PIFL,46,heatwave,water,3
PIFL47,9.1,2025-07-24,PIFL,47,heatwave,drought,3
PIFL52,9.5,2025-07-24,PIFL,52,heatwave,water,3
PIFL54,9.9,2025-07-24,PIFL,54,heatwave,drought,3
PIFL55,9,2025-07-24,PIFL,55,heatwave,water,3
PIFL57,9.8,2025-07-24,PIFL,57,heatwave,drought,3
PIFL1,10.6,2025-07-31,PIFL,1,ambient,water,10
PIFL3,8.9,2025-07-31,PIFL,3,ambient,drought,10
PIFL9,9.2,2025-07-31,PIFL,9,ambient,water,10
PIFL10,7.2,2025-07-31,PIFL,10,ambient,drought,10
PIFL12,7.4,2025-07-31,PIFL,12,ambient,water,10
PIFL17,8.2,2025-07-31,PIFL,17,ambient,drought,10
